ts,device_id,device_name,device_type,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,conn_state,capture_scenario
1540469302.538640,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CGm6jB4dXK71ZDWUDh,192.168.1.132,58687,216.239.35.4,123,udp,-,0.114184,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540469197.400159,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CnaDAG3n5r8eiG4su2,192.168.1.132,1900,239.255.255.250,1900,udp,-,160.367579,7536,0,24,0,S0,CTU-Honeypot-Capture-4-1
1540469385.734089,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CUrxU238nt0m6yTgKf,192.168.1.132,32893,216.239.35.8,123,udp,-,0.016986,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540469831.302625,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CGQf8t1kjdxB5PHXL4,192.168.1.132,53395,2.16.60.82,443,tcp,-,0.003497,0,0,5,3,SF,CTU-Honeypot-Capture-4-1
1540469831.265405,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CUo9DH2QDnCaBIGjkg,192.168.1.132,52801,192.168.1.1,53,udp,dns,0.036724,34,311,1,1,SF,CTU-Honeypot-Capture-4-1
1540469418.379528,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CAvXOZ3htimWEtglii,192.168.1.132,1900,239.255.255.250,1900,udp,-,384.518261,15072,0,48,0,S0,CTU-Honeypot-Capture-4-1
1540470081.850824,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CfJsUD2NGQvnK2p7Vd,192.168.1.132,58124,216.239.35.12,123,udp,-,0.270332,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540470187.222098,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CVwKZS98dRvk1jeH2,192.168.1.132,35313,216.239.35.0,123,udp,-,0.111429,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540470355.430009,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CzbHG4aoHRooWvyMg,192.168.1.132,46064,216.239.35.4,123,udp,-,0.114433,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540470419.608808,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CbTB0B2ZnnDWLAIml3,192.168.1.132,45230,216.239.35.8,123,udp,-,0.016984,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540470731.346472,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CKT1nF2pKxpwesvEtj,192.168.1.132,53396,2.16.60.82,443,tcp,-,0.003497,0,0,4,2,SF,CTU-Honeypot-Capture-4-1
1540470731.305747,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C2Lv0t2TFb4oOybzrh,192.168.1.132,48230,192.168.1.1,53,udp,dns,0.040227,34,311,1,1,SF,CTU-Honeypot-Capture-4-1
1540471110.727073,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CaBoMhYTG8hXEYKUl,192.168.1.132,49002,216.239.35.12,123,udp,-,0.270346,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540471275.097352,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CNKSzj2AzuaCQBuSsj,192.168.1.132,46411,216.239.35.0,123,udp,-,0.109684,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540471418.303992,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CQeo6C4faCIKjIhMM3,192.168.1.132,49057,216.239.35.4,123,udp,-,0.114426,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540471494.493815,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CDoMg14pwYZ0Rylhf1,192.168.1.132,42282,216.239.35.8,123,udp,-,0.016980,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540469863.253209,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CP01y62UX7tbTa1x39,192.168.1.132,1900,239.255.255.250,1900,udp,-,1633.044330,60288,0,192,0,S0,CTU-Honeypot-Capture-4-1
1540471631.533708,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CAkyqq4QzwUJQDuxnc,192.168.1.132,56406,2.16.60.139,443,tcp,-,0.003498,0,0,4,2,SF,CTU-Honeypot-Capture-4-1
1540471631.350066,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C1NlJjzoaDWwde1ak,192.168.1.132,34110,192.168.1.1,53,udp,dns,0.183145,34,311,1,1,SF,CTU-Honeypot-Capture-4-1
1540472191.611346,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cv5jrH2pHRn5GLjwy2,192.168.1.132,52937,216.239.35.12,123,udp,-,0.272344,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540472314.983162,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Ce0eby5SunbIYssC6,192.168.1.132,53418,216.239.35.0,123,udp,-,0.109436,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540471557.061917,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CAb9Gv4xgifq99dLkc,192.168.1.132,1900,239.255.255.250,1900,udp,-,766.048560,28260,0,90,0,S0,CTU-Honeypot-Capture-4-1
1540472384.714259,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CYBsqO1jX0dBXEeQUi,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.851218,3768,0,12,0,S0,CTU-Honeypot-Capture-4-1
1540472524.852647,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C0wssT3JKSiAqhCZw,192.168.1.132,56806,52.209.221.67,80,tcp,http,0.088446,1847,1539,7,7,SF,CTU-Honeypot-Capture-4-1
1540472524.944342,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CZAnC51NxxuVdfhg28,192.168.1.132,60404,52.215.95.120,80,tcp,http,0.109187,1847,791,6,6,SF,CTU-Honeypot-Capture-4-1
1540472524.797195,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CROWuH3A0maFhUNqHl,192.168.1.132,40730,192.168.1.1,53,udp,dns,0.050455,37,179,1,1,SF,CTU-Honeypot-Capture-4-1
1540472524.848149,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CpMGWx1WZnjO78jNT2,192.168.1.132,50152,192.168.1.1,53,udp,dns,0.003998,37,442,1,1,SF,CTU-Honeypot-Capture-4-1
1540472524.942095,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C6MXM823vAYEWDE1wi,192.168.1.132,42585,192.168.1.1,53,udp,dns,0.000499,37,100,1,1,SF,CTU-Honeypot-Capture-4-1
1540472524.943343,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C52U38ISU4nIzZmwd,192.168.1.132,49327,192.168.1.1,53,udp,dns,0.000500,37,132,1,1,SF,CTU-Honeypot-Capture-4-1
